N symbol name m Rcovalent Rvdw Tm Tb structure a b c alpha beta gamma cpk
84 Po polonium 209 1.4 nodata 527 1235 cubic 3.35 3.35 3.35 90 90 90 ab5c00
85 At astatine 210 1.5 nodata 575 503 nodata 0 0 0 nodata nodata nodata 754f45
86 Rn radon 222 1.5 nodata 202 211.3 nodata 0 0 0 nodata nodata nodata 428296
87 Fr francium 223 2.6 nodata nodata 871 nodata 0 0 0 nodata nodata nodata 420066
88 Ra radium 226 2.21 nodata 973 2010 bcc 5.14 5.14 5.14 90 90 90 007d00
89 Ac actinium 227 2.15 nodata 1323 3573 ccp 5.67 5.67 5.67 90 90 90 70abfa
90 Th thorium 232.03806 2.06 nodata 2115 5093 ccp 5.08 5.08 5.08 90 90 90 00baff
91 Pa protactinium 231.03588 2 nodata 1841 4300 tetragonal 3.92 3.92 3.23 90 90 90 00a1ff
92 U uranium 238.02891 1.96 1.86 1405.3 4200 orthorhombic 2.85 5.86 4.95 90 90 90 008fff
93 Np neptunium 237 1.9 nodata 910 4300 orthorhombic 6.66 4.72 4.88 90 90 90 0080ff
94 Pu plutonium 244 1.87 nodata 912.5 3503 monoclinic 6.18 4.82 10.96 90 101 90 006bff
95 Am americium 243 1.8 nodata 1449 2880 hcp 3.46 3.46 11.24 90 90 120 545cf2
96 Cm curium 247 1.69 nodata 1613 3383 hcp 3.49 3.49 11.33 90 90 120 785ce3
97 Bk berkelium 247 nodata nodata 1259 nodata hcp 3.41 3.41 11.06 90 90 120 8a4fe3
98 Cf californium 251 nodata nodata 1173 nodata hcp 3.38 3.38 11.02 90 90 120 a136d4
99 Es einsteinium 252 nodata nodata 1133 nodata nodata 0 0 0 nodata nodata nodata b31fd4
100 Fm fermium 257 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata b31fba
101 Md mendelevium 258 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata b30da6
102 No nobelium 259 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata bd0d87
103 Lr lawrencium 262 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata c70066
104 Rf rutherfordium 265 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata cc0059
105 Db dubnium 268 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata d1004f
106 Sg seaborgium 271 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata d90045
107 Bh bohrium 272 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata e00038
108 Hs hassium 277 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata e6002e
109 Mt meitnerium 276 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata eb0026
110 Ds darmstadtium 281 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata nodata
111 Rg roentgenium 280 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata nodata
112 Cn copernicium 285 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata nodata
113 Nh nihonium 284 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata nodata
114 Fl flerovium 289 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata nodata
115 Mc moscovium 288 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata nodata
116 Lv livermorium 293 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata nodata
117 Ts tennessine 294 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata nodata
118 Og oganesson 294 nodata nodata nodata nodata nodata 0 0 0 nodata nodata nodata nodata
